category,severity,from_entity,relationship,to_entity,problem,source,recommended_correction,remediation_status,owner_finding
disconnected,P3,MUN_HORMIGUEROS,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:36,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_HUMACAO,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:37,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_ISABELA,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:38,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_JAYUYA,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:39,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_JUANA_DIAZ,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:40,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_JUNCOS,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:41,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_LAJAS,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:42,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_LARES,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:43,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_LAS_MARIAS,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:44,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_LAS_PIEDRAS,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:45,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_LOIZA,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:46,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_LUQUILLO,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:47,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_MANATI,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:48,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_MARICAO,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:49,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_MAUNABO,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:50,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_MAYAGUEZ,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:51,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_MOCA,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:52,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_MOROVIS,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:53,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_NAGUABO,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:54,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_NARANJITO,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:55,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_OROCOVIS,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:56,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_PATILLAS,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:57,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_PENUELAS,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:58,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_PONCE,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:59,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_QUEBRADILLAS,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:60,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_RINCON,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:61,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_RIO_GRANDE,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:62,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_SABANA_GRANDE,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:63,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_SALINAS,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:64,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_SAN_GERMAN,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:65,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_SAN_JUAN,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:66,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_SAN_LORENZO,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:67,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_SAN_SEBASTIAN,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:68,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_SANTA_ISABEL,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:69,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_TOA_ALTA,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:70,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_TOA_BAJA,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:71,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_TRUJILLO_ALTO,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:72,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_UTUADO,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:73,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_VEGA_ALTA,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:74,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_VEGA_BAJA,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:75,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_VIEQUES,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:76,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_VILLALBA,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:77,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_YABUCOA,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:78,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_YAUCO,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:79,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,Q_PARKING_PROVIDED,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/questions.json:73,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,Q_COMMERCIAL_KITCHEN,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/questions.json:125,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,Q_RENTAL_UNITS,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/questions.json:266,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,Q_SIGNAGE_TYPE,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/questions.json:292,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,Q_GENERATOR_INSTALLED,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/questions.json:319,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,Q_CUSTOMS_BROKER,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/questions.json:329,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
question_unasked,P2,Q_COMMERCIAL_KITCHEN,asks,,No business type asks question,frontend/src/kb/questions.json:125,"Classify as profile-derived, inference-only, unused or missing linkage before adding a question.","deferred: audit hypothesis, not live-verified",S10
question_unasked,P2,Q_RENTAL_UNITS,asks,,No business type asks question,frontend/src/kb/questions.json:266,"Classify as profile-derived, inference-only, unused or missing linkage before adding a question.","deferred: audit hypothesis, not live-verified",S10
question_unasked,P2,Q_EXISTING_LEASE,asks,,No business type asks question,frontend/src/kb/questions.json:63,"Classify as profile-derived, inference-only, unused or missing linkage before adding a question.","deferred: audit hypothesis, not live-verified",S10
question_unasked,P2,Q_SIGNAGE_TYPE,asks,,No business type asks question,frontend/src/kb/questions.json:292,"Classify as profile-derived, inference-only, unused or missing linkage before adding a question.","deferred: audit hypothesis, not live-verified",S10
question_unasked,P2,Q_ENTITY_LLP,asks,,No business type asks question,frontend/src/kb/questions.json:460,"Classify as profile-derived, inference-only, unused or missing linkage before adding a question.","deferred: audit hypothesis, not live-verified",S10
question_unasked,P2,Q_PARKING_PROVIDED,asks,,No business type asks question,frontend/src/kb/questions.json:73,"Classify as profile-derived, inference-only, unused or missing linkage before adding a question.","deferred: audit hypothesis, not live-verified",S10
question_unasked,P2,Q_GENERATOR_INSTALLED,asks,,No business type asks question,frontend/src/kb/questions.json:319,"Classify as profile-derived, inference-only, unused or missing linkage before adding a question.","deferred: audit hypothesis, not live-verified",S10
question_unasked,P2,Q_FIREARMS_SOLD,asks,,No business type asks question,frontend/src/kb/questions.json:385,"Classify as profile-derived, inference-only, unused or missing linkage before adding a question.","deferred: audit hypothesis, not live-verified",S10
question_unasked,P2,Q_ALCOHOL_MANUFACTURED,asks,,No business type asks question,frontend/src/kb/questions.json:145,"Classify as profile-derived, inference-only, unused or missing linkage before adding a question.","deferred: audit hypothesis, not live-verified",S10
question_unasked,P2,Q_CUSTOMS_BROKER,asks,,No business type asks question,frontend/src/kb/questions.json:329,"Classify as profile-derived, inference-only, unused or missing linkage before adding a question.","deferred: audit hypothesis, not live-verified",S10
question_unasked,P2,Q_OWNS_PROPERTY,asks,,No business type asks question,frontend/src/kb/questions.json:58,"Classify as profile-derived, inference-only, unused or missing linkage before adding a question.","deferred: audit hypothesis, not live-verified",S10
question_unasked,P2,Q_HOME_BASED,asks,,No business type asks question,frontend/src/kb/questions.json:33,"Classify as profile-derived, inference-only, unused or missing linkage before adding a question.","deferred: audit hypothesis, not live-verified",S10
question_unasked,P2,Q_ENTITY_FOREIGN_CORP,asks,,No business type asks question,frontend/src/kb/questions.json:455,"Classify as profile-derived, inference-only, unused or missing linkage before adding a question.","deferred: audit hypothesis, not live-verified",S10
document_no_rule,P2,DOC_CRIM_CLEARANCE,requires,,No rule produces document; may be added by other runtime logic,frontend/src/kb/documents.json:376,Map runtime augmentation explicitly or add a justified trigger; do not activate merely to remove an orphan.,"deferred: audit hypothesis, not live-verified",S10
document_no_rule,P2,DOC_SURI_REGISTRATION,requires,,No rule produces document; may be added by other runtime logic,frontend/src/kb/documents.json:80,Map runtime augmentation explicitly or add a justified trigger; do not activate merely to remove an orphan.,"deferred: audit hypothesis, not live-verified",S10
document_no_rule,P2,DOC_OCCUPANCY,requires,,No rule produces document; may be added by other runtime logic,frontend/src/kb/documents.json:113,Map runtime augmentation explicitly or add a justified trigger; do not activate merely to remove an orphan.,"deferred: audit hypothesis, not live-verified",S10
document_no_rule,P2,DOC_FLOOR_PLANS,requires,,No rule produces document; may be added by other runtime logic,frontend/src/kb/documents.json:283,Map runtime augmentation explicitly or add a justified trigger; do not activate merely to remove an orphan.,"deferred: audit hypothesis, not live-verified",S10
document_no_rule,P2,DOC_DBA_REGISTRATION,requires,,No rule produces document; may be added by other runtime logic,frontend/src/kb/documents.json:47,Map runtime augmentation explicitly or add a justified trigger; do not activate merely to remove an orphan.,"deferred: audit hypothesis, not live-verified",S10
document_no_rule,P2,DOC_ARTICLES_ORGANIZATION,requires,,No rule produces document; may be added by other runtime logic,frontend/src/kb/documents.json:14,Map runtime augmentation explicitly or add a justified trigger; do not activate merely to remove an orphan.,"deferred: audit hypothesis, not live-verified",S10
