pr_document_id,pr_document_name,pr_rules_targeting,concept_id,reuse_class,fl_candidate,fl_authority,fl_level,fl_basis,confidence,notes
DOC_WORKERS_COMP,Workers Compensation Insurance (CFSE),9,CON_WORKERS_COMP,FL_EQUIVALENT,Workers' compensation coverage or exemption certificate,FL DFS Div. of Workers' Compensation,state,Ch. 440 F.S.,known,"threshold logic differs: construction 1+ employees, non-construction 4+, agriculture 6 regular/12 seasonal -> rules need Q_EMPLOYEE_COUNT + industry"
DOC_LEASE_AGREEMENT,Lease Agreement,2,CON_SITE_CONTROL,GENERIC_REUSE,Lease Agreement,Property owner,private,,known,
DOC_PROPERTY_DEED,Property Deed (Escritura),2,CON_SITE_CONTROL,GENERIC_REUSE,Recorded deed,County Clerk of Court (official records),private,,known,agency label swap only
DOC_FLOOR_PLANS,Floor Plans,0,CON_FLOOR_PLANS,GENERIC_REUSE,Floor Plans,Licensed architect / engineer,private,,known,
DOC_SIGN_PERMIT,Sign / Rótulo Permit,6,CON_SIGN_PERMIT,FL_SPLIT,Local sign permit + FDOT outdoor advertising permit (off-premises signs on state roads),City or county zoning/building + FDOT,county_or_municipality,Ch. 479 F.S. (FDOT),known,
DOC_OUTDOOR_SEATING_AUTH,Outdoor Seating Authorization,1,CON_OUTDOOR_SEATING,FL_EQUIVALENT,Sidewalk cafe / outdoor dining permit,City or county,county_or_municipality,local code,known,long tail -> requirements_only until verified per city
DOC_ENTERTAINMENT_PERMIT,Entertainment Permit,4,CON_ENTERTAINMENT_PERMIT,FL_EQUIVALENT,Local entertainment / special-event permit,City or county,county_or_municipality,local code,verify,
DOC_IMPORT_EXPORT_REG,Import / Export Registration,2,CON_IMPORTER_ID,FEDERAL_REUSE,CBP importer identification (no FL state importer registration),U.S. CBP,federal,,verify,drop the Hacienda half
DOC_HOME_DECLARATION,Home Business Declaration,0,CON_HOME_OCCUPATION,FL_EQUIVALENT,Home occupation BTR classification / home-business registration,City or county,county_or_municipality,s. 559.955 F.S. (limits local regulation of home-based businesses),known,
DOC_CRIM_CLEARANCE,CRIM Property Tax Clearance,5,CON_PROPERTY_TAX_COMPLIANCE,FL_EQUIVALENT,"Tangible Personal Property Tax Return (DR-405), due April 1",County property appraiser,county,s. 193.062 F.S.,known,semantic shift: clearance -> annual filing
DOC_TRANSPORT_PERMIT,Transportation / PUC Permit,11,CON_FOR_HIRE_TRANSPORT,FL_SPLIT,Local for-hire vehicle license (county/city) + USDOT/FMCSA authority for interstate carriers,County/city for-hire regulator + FMCSA,county_or_municipality,s. 627.748 F.S. (TNC preemption),verify,no statewide passenger PUC
DOC_VEHICLE_REGISTRATION,Commercial Vehicle Registration,10,CON_VEHICLE_REGISTRATION,FL_EQUIVALENT,Commercial vehicle registration,FL Dept of Highway Safety & Motor Vehicles (via county tax collector),state,Ch. 320 F.S.,known,
DOC_CHILDCARE_LICENSE,Childcare / Education License,5,CON_CHILDCARE_LICENSE,FL_SPLIT,"Child care facility license - DCF, OR county local licensing agency in counties that opted in",FL DCF / county licensing agency,state,s. 402.305 / s. 402.306 F.S.,known,county override of a state license = key test of the jurisdiction stack; list of opt-in counties = verify
DOC_BACKGROUND_CHECK,Background Check Documentation (Certificado de Antecedentes Penales),13,CON_BACKGROUND_SCREENING,FL_EQUIVALENT,Level 2 background screening,AHCA Care Provider Background Screening Clearinghouse / FDLE,state,Ch. 435 F.S.,known,
DOC_PESTICIDE_LICENSE,Pesticide Applicator License,1,CON_PESTICIDE_LICENSE,FL_SPLIT,Pesticide applicator license / pest control business license,FDACS,state,Ch. 487 / Ch. 482 F.S.,known,
DOC_AGRICULTURE_REGISTRATION,Bona Fide Farmer Registration,7,CON_BONA_FIDE_AGRICULTURE,FL_EQUIVALENT,Agricultural classification (greenbelt) + ag sales-tax exemption,County property appraiser + FL DOR / FDACS,county,s. 193.461 F.S.,verify,
DOC_FIREARMS_LICENSE,Weapons / Firearms Dealer License,1,CON_FIREARMS_DEALER,FEDERAL_REUSE,Federal Firearms License (no FL state dealer license),ATF,federal,s. 790.33 F.S. (state preemption of local firearms regulation),known,county waiting-period option = verify
DOC_NOISE_VARIANCE,Noise Variance / Endoso de Ruido,1,CON_NOISE_VARIANCE,FL_EQUIVALENT,Noise ordinance variance,City or county,county_or_municipality,local code,verify,
DOC_ISLAND_FERRY_MANIFEST,ATM Ferry Logistics Manifest (Vieques/Culebra),10,CON_ISLAND_LOGISTICS,PR_ONLY,"(none - replaced by Florida Keys ACSC overlay, which has different documents)",,overlay,,known,12 PR island rules not carried over
DOC_NPDES_INDUSTRIAL,NPDES Industrial Discharge Permit,7,CON_NPDES_INDUSTRIAL,FL_EQUIVALENT,NPDES industrial wastewater permit (state-delegated),FL DEP,state,40 CFR 122; Ch. 403 F.S.,known,agency swap from EPA/DRNA
DOC_HAZMAT_HANDLER,RCRA Hazardous Waste Handler ID (40 CFR 262),9,CON_HAZWASTE_ID,FEDERAL_REUSE,EPA ID number (RCRA-authorized state),FL DEP / U.S. EPA,federal,40 CFR 262,known,
DOC_PORT_FACILITY_PERMIT,Port Facility Operating Authorization,7,CON_PORT_OPERATING_AGREEMENT,FL_EQUIVALENT,Port tenant / operating agreement,"Port authority (e.g. PortMiami, Port Everglades, JAXPORT, Port Tampa Bay, Port Canaveral)",overlay,,verify,overlay per port district
DOC_AIR_EMISSION_PERMIT,Title V Air Emission Permit,5,CON_TITLE_V,FL_EQUIVALENT,Title V air operation permit,FL DEP (+ local air programs where delegated),state,CAA 502; Ch. 403 F.S.,verify,local program delegation per county = verify
DOC_CUSTOMS_BROKER_BOND,CBP Customs Broker Bond,5,CON_CUSTOMS_BOND,FEDERAL_REUSE,CBP continuous bond,U.S. CBP,federal,19 CFR 113,known,
DOC_TSA_KNOWN_SHIPPER,TSA Known Shipper / Indirect Air Carrier,5,CON_TSA_SHIPPER,FEDERAL_REUSE,TSA Known Shipper / Indirect Air Carrier,TSA,federal,,known,
DOC_AIRPORT_CONCESSION,Airport-Area Concession Agreement,1,CON_AIRPORT_CONCESSION,FL_EQUIVALENT,Airport concession agreement,"Airport authority (e.g. MDAD, GOAA, HCAA, Broward County Aviation)",overlay,,verify,overlay per airport
DOC_HOA_AUTHORIZATION,Condo / HOA Short-Term Rental Authorization,1,CON_HOA_AUTHORIZATION,GENERIC_REUSE,Condo / HOA rental authorization,Condominium or homeowners association,private,Ch. 718 / Ch. 720 F.S.,known,high relevance in FL
DOC_ROOM_TAX_RETURN,Room Tax Monthly Return,3,CON_TRANSIENT_RENTAL_TAX,FL_SPLIT,"State transient rentals sales tax return + county Tourist Development Tax return (to county if self-administered, else DOR) + any local resort/convention tax",FL Dept of Revenue + county tax collector,county,s. 212.03 F.S.; s. 125.0104 F.S.,known,which counties self-administer TDT = county matrix column; municipal resort taxes = verify per city
DOC_LUMA_INTERCONNECTION,LUMA Interconnection Registration,1,CON_UTILITY_INTERCONNECTION,FL_SPLIT,Utility interconnection agreement (utility-specific),"Serving utility (investor-owned, municipal, or co-op)",overlay,FPSC Rule 25-6.065 F.A.C. (investor-owned utilities),verify,needs utility service-territory overlay
DOC_NET_METERING_AGREEMENT,Net Metering Agreement,1,CON_NET_METERING,FL_SPLIT,Net metering agreement (utility-specific),Serving utility,overlay,FPSC Rule 25-6.065 F.A.C.,verify,
DOC_OGPE_CONSTRUCTION_PERMIT,OGPe Construction Permit,6,CON_BUILDING_PERMIT,FL_SPLIT,Local building permit + floodplain development permit (in flood zone) + CCCL permit (seaward of the Coastal Construction Control Line) + Environmental Resource Permit (site work),Local building dept / local floodplain administrator / FL DEP / water management district,county_or_municipality,Ch. 553 F.S.; Ch. 161 F.S. (CCCL); Ch. 373 F.S. (ERP),known,project_fact rules reused; FL adds parcel overlays
DOC_OWNER_AFFIDAVIT,Property Owner Authorization Affidavit,1,CON_OWNER_AUTHORIZATION,GENERIC_REUSE,Owner authorization affidavit (+ owner-builder disclosure where owner pulls permits),Notary / local building department,private,s. 489.103(7) F.S. (owner-builder),verify,
DOC_OPPE_INSTALLER_REG,OPPE Installer Registration Evidence,1,CON_CONTRACTOR_LICENSE,MERGE,Certified solar or electrical contractor license,DBPR CILB / ECLB,state,Ch. 489 F.S.,verify,
DOC_DTRH_EMPLOYER_REG,DTRH Employer Registration (Unemployment & Disability Insurance),1,CON_UNEMPLOYMENT_INSURANCE_REG,FL_EQUIVALENT,Reemployment Tax registration,FL Dept of Revenue,state,Ch. 443 F.S.,known,FL has no state disability insurance; registration via DR-1
DOC_ASUME_CLEARANCE,ASUME Child Support Clearance Certification,5,CON_CHILD_SUPPORT_CLEARANCE,PR_ONLY,(none),,state,,known,5 PR rules not carried over
DOC_ANNUAL_REPORT,Annual Report / Annual Fee (Informe Anual),1,CON_ANNUAL_REPORT,FL_EQUIVALENT,Annual Report (filing window Jan 1 - May 1),FL Dept of State - Division of Corporations (Sunbiz),state,s. 607.1622 / s. 605.0212 F.S.,known,late fee amount = verify
DOC_SAM_REGISTRATION,SAM.gov Entity Registration,5,CON_SAM,FEDERAL_REUSE,SAM.gov entity registration,GSA,federal,FAR 52.204-7,known,
DOC_CERT_ORGANIZATION,Certificate of Organization (Certificado de Organización) — LLC,1,CON_ENTITY_FORMATION_LLC,MERGE,"(merge into Articles of Organization - FL issues filed articles, not a separate certificate)",FL Dept of State - Division of Corporations (Sunbiz),state,Ch. 605 F.S.,verify,PR splits certificate vs articles; FL does not
DOC_HACIENDA_EMPLOYER_WITHHOLDING,Hacienda/SURI Employer Withholding Registration,1,CON_STATE_INCOME_TAX_WITHHOLDING,PR_ONLY,(none - FL has no personal income tax),,state,,known,federal payroll (Form 941) could be added as a federal concept for both packs
DOC_HACIENDA_TAX_COMPLIANCE,Hacienda Tax Filing & Debt Compliance Evidence,2,CON_STATE_TAX_GOOD_STANDING,FL_EQUIVALENT,Certificate of Status (Sunbiz) / DOR compliance evidence where a contract requires it,FL Dept of State / FL Dept of Revenue,state,,verify,no general FL tax-clearance certificate; scope to procurement contexts
DOC_ALCOHOL_SALES_PROJECTION,Alcohol Sales Projection / Volume Information,1,CON_ALCOHOL_LICENSE,FL_EQUIVALENT,"Special Food Service license qualification evidence (food revenue %, seating, square footage)",DBPR Div. of Alcoholic Beverages & Tobacco,state,s. 561.20 F.S.,verify,semantic swap: PR volume projection -> FL SFS qualification
DOC_DOMICILIARY_USE_PERMIT,Permiso Único — Domiciliary Use (home-business use authorization),1,CON_HOME_OCCUPATION,MERGE,(merge into home occupation),City or county,county_or_municipality,s. 559.955 F.S.,known,
DOC_AMBULANT_BUSINESS_LICENSE,Municipal Ambulant-Business License (mobile unit),1,CON_MOBILE_VENDOR,FL_SPLIT,Mobile Food Dispensing Vehicle license (food) / local peddler permit (non-food),DBPR Div. of Hotels & Restaurants / city or county,state,s. 509.102 F.S. (state preempts local MFDV licensing),known,first concrete preemption case for the engine
DOC_WASTEWATER_DISCHARGE_AUTHORIZATION,Wastewater Discharge / Sewer Pretreatment Authorization,4,CON_PRETREATMENT,FL_SPLIT,"Local industrial pretreatment / grease (FOG) permit, OR septic (OSTDS) permit when not on sewer",Local utility (city/county) / state OSTDS program,county_or_municipality,,verify,depends on utility service area layer
DOC_BIOMEDICAL_WASTE_GENERATOR_ID,Regulated Biomedical-Waste Generator Registration / ID,1,CON_BIOMEDICAL_WASTE,FL_EQUIVALENT,Biomedical waste generator permit/registration,FL DOH,state,s. 381.0098 F.S.,known,
DOC_SCHIDE_CLEARANCE,SCHIDe Child-Care Background Eligibility Clearance,1,CON_BACKGROUND_SCREENING,MERGE,(merge into Level 2 screening),AHCA Clearinghouse,state,Ch. 435 F.S.,known,
DOC_EMPLOYEE_HEALTH_CERTIFICATES,Health Certificates for Child-Care Personnel,1,CON_CHILDCARE_STAFF_HEALTH,FL_EQUIVALENT,Child care staff health documentation,FL DCF,state,,verify,confirm FL rule requires it before carrying the rule
DOC_CPR_FIRST_AID_CERT,CPR and First Aid Certifications (child-care staff),1,CON_CHILDCARE_STAFF_TRAINING,GENERIC_REUSE,CPR / First Aid certification,FL DCF (rule requirement),state,,verify,
DOC_CHILDCARE_TRAINING_CERT,Child-Care Staff Training / Professional Preparation Evidence,1,CON_CHILDCARE_STAFF_TRAINING,FL_EQUIVALENT,DCF introductory child care training,FL DCF,state,s. 402.305 F.S.,known,
DOC_USED_OIL_GENERATOR_ID,DRNA Used-Oil Generator Identification,2,CON_USED_OIL,FL_EQUIVALENT,Used oil management (generator duties; transporter/processor registration),FL DEP,state,,verify,confirm whether generators register in FL before carrying the rule
DOC_EPA_HAZARDOUS_WASTE_ID,EPA/DRNA Hazardous-Waste Generator ID,2,CON_HAZWASTE_ID,FEDERAL_REUSE,EPA ID number,FL DEP / U.S. EPA,federal,40 CFR 262,known,
DOC_FDA_FOOD_FACILITY_REGISTRATION,FDA Food Facility Registration,1,CON_FDA_FOOD_FACILITY,FEDERAL_REUSE,FDA Food Facility Registration,U.S. FDA,federal,21 CFR 1.225,known,
DOC_NPDES_INDUSTRIAL_STORMWATER,NPDES Industrial-Stormwater Coverage / No-Exposure Determination,4,CON_INDUSTRIAL_STORMWATER,FL_EQUIVALENT,Multi-Sector Generic Permit / No Exposure Certification,FL DEP,state,,known,agency swap
DOC_AIR_PERMIT,Air Permit / Minor-Source Determination,4,CON_AIR_MINOR,FL_EQUIVALENT,Air general permit / minor-source determination,FL DEP (+ local programs),state,,verify,
DOC_IRS_TAX_EXEMPT_DETERMINATION,IRS Tax-Exempt Determination (e.g. 501(c)(3)),2,CON_FEDERAL_TAX_EXEMPT,FEDERAL_REUSE,IRS determination letter (501(c)),IRS,federal,,known,
DOC_HACIENDA_PR_TAX_EXEMPTION,Puerto Rico Hacienda Tax-Exemption Determination,2,CON_STATE_TAX_EXEMPT,FL_EQUIVALENT,Consumer's Certificate of Exemption (sales tax),FL Dept of Revenue,state,Ch. 212 F.S.,verify,
DOC_DACO_FUEL_RETAILER_REGISTRATION,DACO Fuel Retailer Registration,1,CON_FUEL_RETAILER,FL_EQUIVALENT,Petroleum / motor fuel retail registration,FDACS / FL DOR,state,Ch. 525 F.S. / Ch. 206 F.S.,verify,
DOC_FUEL_DISPENSER_WEIGHTS_MEASURES,DACO Weights-and-Measures Registration/Inspection (fuel dispensers),1,CON_FUEL_DISPENSER_INSPECTION,FL_EQUIVALENT,Petroleum dispenser inspection,FDACS Div. of Standards,state,Ch. 525 F.S.,known,
DOC_UST_OPERATING_PERMIT,Underground Storage Tank (UST) Operating Permit / Compliance,1,CON_STORAGE_TANK,FL_EQUIVALENT,Storage tank registration,FL DEP (often via county-contracted programs),state,Ch. 62-761 F.A.C.,known,
DOC_WASTE_TIRE_STORAGE_PERMIT,Waste-Tire Storage Permit / Authorization,1,CON_WASTE_TIRE_SITE,FL_EQUIVALENT,Waste tire site permit,FL DEP,state,s. 403.717 F.S.; Ch. 62-711 F.A.C.,known,
DOC_WASTE_TIRE_PROCESSOR_PERMIT,Waste-Tire Processor / Recycler Operating Authorization,1,CON_WASTE_TIRE_PROCESSOR,FL_EQUIVALENT,Waste tire processing facility permit,FL DEP,state,s. 403.717 F.S.; Ch. 62-711 F.A.C.,known,
